BUstart,BUend,FUstart,FUend
14-Jul-79,5-Aug-79,9-Oct-79,13-Nov-79
7-Jul-80,00-Jan-0000,2-Sep-80,8-Oct-80
20-May-81,00-Jan-0000,1-Sep-81,6-Oct-81
27-May-82,23-Aug-82,7-Oct-82,12-Oct-82
00-Jan-0000,00-Jan-0000,00-Jan-0000,23-Sep-83
30-Jun-84,16-Aug-84,6-Oct-84,2-Nov-84
11-Jul-85,27-Sep-85,22-Sep-85,19-Oct-85
7-Jul-86,23-Jul-86,12-Oct-86,19-Nov-86
4-May-87,2-Aug-87,1-Nov-87,23-Nov-87
00-Jan-0000,00-Jan-0000,00-Jan-0000,28-Sep-88
2-Jul-89,7-Aug-89,21-Oct-89,6-Nov-89
30-Jun-90,2-Aug-90,27-Oct-90,16-Nov-90
5-Jun-91,00-Jan-0000,00-Jan-0000,10-Oct-91
3-Jul-92,00-Jan-0000,00-Jan-0000,18-Nov-92
3-May-93,7-Aug-93,12-Nov-93,16-Nov-93
00-Jan-0000,00-Jan-0000,28-Sep-94,17-Oct-94
6-Jul-95,28-Aug-95,20-Oct-95,26-Oct-95
5-Jul-96,28-Sep-96,28-Sep-96,25-Oct-96
5-Jul-97,24-Jul-97,9-Nov-97,30-Nov-97
10-Jul-98,14-Aug-98,18-Nov-98,3-Dec-98
27-Apr-99,23-Aug-99,26-Oct-99,4-Nov-99
25-May-00,30-Jul-00,8-Oct-00,3-Nov-00
14-Jul-01,19-Aug-01,11-Oct-01,26-Oct-01
13-Jul-02,3-Sep-02,3-Sep-02,2-Dec-02
11-Jun-03,22-Jul-03,8-Nov-03,13-Nov-03
11-May-04,16-Jul-04,1-Nov-04,7-Nov-04
4-May-05,15-Jul-05,3-Nov-05,16-Nov-05
8-Jul-06,12-Aug-06,16-Nov-06,22-Dec-06
26-May-07,29-Jun-07,1-Nov-07,14-Dec-07
7-Jul-08,4-Aug-08,25-Oct-08,18-Nov-08
2-Jun-09,17-Jul-09,8-Nov-09,15-Nov-09
17-May-10,20-Jul-10,1-Nov-10,9-Nov-10
14-May-11,4-Jul-11,7-Nov-11,17-Nov-11
23-Mar-12,9-Aug-12,6-Nov-12,13-Nov-12
