BUstart,BUend,FUstart,FUend
14-Jul-1979,05-Aug-1979,09-Oct-1979,13-Nov-1979
07-Jul-1980,00-Jan-0000,02-Sep-1980,08-Oct-1980
20-May-1981,00-Jan-0000,01-Sep-1981,06-Oct-1981
27-May-1982,23-Aug-1982,07-Oct-1982,12-Oct-1982
00-Jan-0000,00-Jan-0000,00-Jan-0000,23-Sep-1983
30-Jun-1984,16-Aug-1984,06-Oct-1984,02-Nov-1984
11-Jul-1985,27-Sep-1985,22-Sep-1985,19-Oct-1985
07-Jul-1986,23-Jul-1986,12-Oct-1986,19-Nov-1986
04-May-1987,02-Aug-1987,01-Nov-1987,23-Nov-1987
00-Jan-0000,00-Jan-0000,00-Jan-0000,28-Sep-1988
02-Jul-1989,07-Aug-1989,21-Oct-1989,06-Nov-1989
30-Jun-1990,02-Aug-1990,27-Oct-1990,16-Nov-1990
05-Jun-1991,00-Jan-0000,00-Jan-0000,10-Oct-1991
03-Jul-1992,00-Jan-0000,00-Jan-0000,18-Nov-1992
03-May-1993,07-Aug-1993,12-Nov-1993,16-Nov-1993
00-Jan-0000,00-Jan-0000,28-Sep-1994,17-Oct-1994
06-Jul-1995,28-Aug-1995,20-Oct-1995,26-Oct-1995
05-Jul-1996,28-Sep-1996,28-Sep-1996,25-Oct-1996
05-Jul-1997,24-Jul-1997,09-Nov-1997,30-Nov-1997
10-Jul-1998,14-Aug-1998,18-Nov-1998,03-Dec-1998
27-Apr-1999,23-Aug-1999,26-Oct-1999,04-Nov-1999
25-May-2000,30-Jul-2000,08-Oct-2000,03-Nov-2000
14-Jul-2001,19-Aug-2001,11-Oct-2001,26-Oct-2001
13-Jul-2002,03-Sep-2002,03-Sep-2002,02-Dec-2002
11-Jun-2003,22-Jul-2003,08-Nov-2003,13-Nov-2003
11-May-2004,16-Jul-2004,01-Nov-2004,07-Nov-2004
04-May-2005,15-Jul-2005,03-Nov-2005,16-Nov-2005
08-Jul-2006,12-Aug-2006,16-Nov-2006,22-Dec-2006
26-May-2007,29-Jun-2007,01-Nov-2007,14-Dec-2007
07-Jul-2008,04-Aug-2008,25-Oct-2008,18-Nov-2008
02-Jun-2009,17-Jul-2009,08-Nov-2009,15-Nov-2009
17-May-2010,20-Jul-2010,01-Nov-2010,09-Nov-2010
14-May-2011,04-Jul-2011,07-Nov-2011,17-Nov-2011
23-Mar-2012,09-Aug-2012,06-Nov-2012,13-Nov-2012
