,BUstart,BUend,FUstart,FUend
1979,195,217,282,317
1980,189,--,246,282
1981,140,--,244,279
1982,147,235,280,285
1983,--,--,--,266
1984,182,229,280,307
1985,192,270,265,292
1986,188,204,285,323
1987,124,214,305,327
1988,--,--,--,272
1989,183,219,294,310
1990,181,214,300,320
1991,156,--,--,283
1992,185,--,--,323
1993,123,219,316,320
1994,--,--,271,290
1995,187,240,293,299
1996,187,272,272,299
1997,186,205,313,334
1998,191,226,322,337
1999,117,235,299,308
2000,146,212,282,308
2001,195,231,284,299
2002,194,246,246,336
2003,162,203,312,317
2004,132,198,306,312
2005,124,196,307,320
2006,189,224,320,356
2007,146,180,305,348
2008,189,217,299,323
2009,153,198,312,319
2010,137,201,305,313
2011,134,185,311,321
2012,083,222,311,318
