,BUstart,BUend,FUstart,FUend,breakup_start,breakup_end,freezeup_start,freezeup_end,,breakup_start,breakup_end,freezeup_start,freezeup_end
1979,195,217,282,317,195,217,282,317,,0,0,0,0
1980,189,0,246,282,189,0,246,282,,0,0,0,0
1981,140,0,244,279,140,0,244,279,,0,0,0,0
1982,147,235,280,285,147,235,280,285,,0,0,0,0
1983,0,0,0,266,0,0,260,266,,0,0,-260,0
1984,182,229,280,307,182,229,280,307,,0,0,0,0
1985,192,270,265,292,191,270,265,292,,1,0,0,0
1986,188,204,285,323,188,204,285,323,,0,0,0,0
1987,124,214,305,327,124,214,305,327,,0,0,0,0
1988,0,0,0,272,0,0,270,272,,0,0,-270,0
1989,183,219,294,310,183,219,294,310,,0,0,0,0
1990,181,214,300,320,181,214,300,321,,0,0,0,-1
1991,156,0,0,283,156,0,282,283,,0,0,-282,0
1992,185,0,0,323,185,0,273,323,,0,0,-273,0
1993,123,219,316,320,123,219,316,320,,0,0,0,0
1994,0,0,271,290,0,0,271,290,,0,0,0,0
1995,187,240,293,299,187,240,293,299,,0,0,0,0
1996,187,272,272,299,187,272,272,299,,0,0,0,0
1997,186,205,313,334,186,205,313,334,,0,0,0,0
1998,191,226,322,337,191,226,322,337,,0,0,0,0
1999,117,235,299,308,117,235,299,308,,0,0,0,0
2000,146,212,282,308,146,212,282,308,,0,0,0,0
2001,195,231,284,299,195,231,284,299,,0,0,0,0
2002,194,246,246,336,194,246,246,336,,0,0,0,0
2003,162,203,312,317,162,203,312,317,,0,0,0,0
2004,132,198,306,312,132,198,306,312,,0,0,0,0
2005,124,196,307,320,124,196,307,320,,0,0,0,0
2006,189,224,320,356,189,224,320,356,,0,0,0,0
2007,146,180,305,348,146,180,305,348,,0,0,0,0
2008,189,217,299,323,189,217,299,323,,0,0,0,0
2009,153,198,312,319,153,198,312,319,,0,0,0,0
2010,137,201,305,313,137,201,305,313,,0,0,0,0
2011,134,185,311,321,134,185,311,321,,0,0,0,0
2012,83,222,311,318,83,222,311,318,,0,0,0,0
